Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
	́				75	U+0301	COMBINING ACUTE ACCENT
	̀				106	U+0300	COMBINING GRAVE ACCENT
	̆				64	U+0306	COMBINING BREVE
	̂				57	U+0302	COMBINING CIRCUMFLEX ACCENT
	̌				5	U+030C	COMBINING CARON
	̊			̊	44	U+030A	COMBINING RING ABOVE
	̈			̈	1850	U+0308	COMBINING DIAERESIS
	̃				14	U+0303	COMBINING TILDE
	̇				3	U+0307	COMBINING DOT ABOVE
	̧				2	U+0327	COMBINING CEDILLA
	̨				12	U+0328	COMBINING OGONEK
	̄				118	U+0304	COMBINING MACRON
	̽				1	U+033D	COMBINING X ABOVE
	̯				11	U+032F	COMBINING INVERTED BREVE BELOW
	̬				3	U+032C	COMBINING CARON BELOW
	̠				3	U+0320	COMBINING MINUS SIGN BELOW
	̜				4	U+031C	COMBINING LEFT HALF RING BELOW
	̞				2	U+031E	COMBINING DOWN TACK BELOW
	͜				2	U+035C	COMBINING DOUBLE BREVE BELOW
	̷				2	U+0337	COMBINING SHORT SOLIDUS OVERLAY
	̅				2	U+0305	COMBINING OVERLINE
	̣				10	U+0323	COMBINING DOT BELOW
	̥				6	U+0325	COMBINING RING BELOW
	̰				3	U+0330	COMBINING TILDE BELOW
	̱				5	U+0331	COMBINING MACRON BELOW
	͡				8	U+0361	COMBINING DOUBLE INVERTED BREVE
	_				16	U+005F	LOW LINE
	-				112388	U+002D	HYPHEN-MINUS
	;				1	U+003B	SEMICOLON
	:				30	U+003A	COLON
	?				77	U+003F	QUESTION MARK
	'				1434	U+0027	APOSTROPHE
	‘				4	U+2018	LEFT SINGLE QUOTATION MARK
	’				41	U+2019	RIGHT SINGLE QUOTATION MARK
	(				83	U+0028	LEFT PARENTHESIS
	)				84	U+0029	RIGHT PARENTHESIS
	[				12	U+005B	LEFT SQUARE BRACKET
	]				12	U+005D	RIGHT SQUARE BRACKET
	/				2	U+002F	SOLIDUS
	´				16	U+00B4	ACUTE ACCENT
	^				1	U+005E	CIRCUMFLEX ACCENT
	˙				2	U+02D9	DOT ABOVE
	~				3	U+007E	TILDE
	∫			ʃ	12	U+222B	INTEGRAL
	€			ɛ	2	U+20AC	EURO SIGN
	a			a	10184	U+0061	LATIN SMALL LETTER A
	A			a	368	U+0041	LATIN CAPITAL LETTER A
	ᴂ			ᴂ	6	U+1D02	LATIN SMALL LETTER TURNED AE
	ɑ			a	9	U+0251	LATIN SMALL LETTER ALPHA
	b			b	2208	U+0062	LATIN SMALL LETTER B
	ƀ			b	1	U+0180	LATIN SMALL LETTER B WITH STROKE
	c			c	2750	U+0063	LATIN SMALL LETTER C
	C			c	80	U+0043	LATIN CAPITAL LETTER C
	d			d	6580	U+0064	LATIN SMALL LETTER D
	D			d	2	U+0044	LATIN CAPITAL LETTER D
	e			e	8964	U+0065	LATIN SMALL LETTER E
	E			d	7	U+0045	LATIN CAPITAL LETTER E
	ǝ			ə	4	U+01DD	LATIN SMALL LETTER TURNED E
	ə			ə	278	U+0259	LATIN SMALL LETTER SCHWA
	ɛ			ɛ	11	U+025B	LATIN SMALL LETTER OPEN E
	ɤ			ɣ	2	U+0264	LATIN SMALL LETTER RAMS HORN
	f			f	2904	U+0066	LATIN SMALL LETTER F
	F			f	5	U+0046	LATIN CAPITAL LETTER F
	g			g	2149	U+0067	LATIN SMALL LETTER G
	G			g	21	U+0047	LATIN CAPITAL LETTER G
	ɡ			g	1	U+0261	LATIN SMALL LETTER SCRIPT G
	ǥ			g	2	U+01E5	LATIN SMALL LETTER G WITH STROKE
	ɣ			ɣ	2	U+0263	LATIN SMALL LETTER GAMMA
	h			h	4522	U+0068	LATIN SMALL LETTER H
	H			h	45	U+0048	LATIN CAPITAL LETTER H
	ʰ				1	U+02B0	MODIFIER LETTER SMALL H
	i			i	4571	U+0069	LATIN SMALL LETTER I
	ͥ			i	2	U+0365	COMBINING LATIN SMALL LETTER I
	I			i	2	U+0049	LATIN CAPITAL LETTER I
	ɪ			i	1	U+026A	LATIN LETTER SMALL CAPITAL I
	j			j	57	U+006A	LATIN SMALL LETTER J
	k			k	4172	U+006B	LATIN SMALL LETTER K
	K			k	2076	U+004B	LATIN CAPITAL LETTER K
	l			l	7292	U+006C	LATIN SMALL LETTER L
	L			l	159	U+004C	LATIN CAPITAL LETTER L
	ł			l	1	U+0142	LATIN SMALL LETTER L WITH STROKE
	m			m	535	U+006D	LATIN SMALL LETTER M
	M			m	2141	U+004D	LATIN CAPITAL LETTER M
	n			n	9562	U+006E	LATIN SMALL LETTER N
	N			n	4	U+004E	LATIN CAPITAL LETTER N
	ŋ			ŋ	8	U+014B	LATIN SMALL LETTER ENG
	o			o	5749	U+006F	LATIN SMALL LETTER O
	O			o	1228	U+004F	LATIN CAPITAL LETTER O
	ø			ø	4	U+00F8	LATIN SMALL LETTER O WITH STROKE
	ɔ			ɔ	28	U+0254	LATIN SMALL LETTER OPEN O
	p			p	172	U+0070	LATIN SMALL LETTER P
	q			q	1	U+0071	LATIN SMALL LETTER Q
	r			r	234	U+0072	LATIN SMALL LETTER R
	R			r	1	U+0052	LATIN CAPITAL LETTER R
	s			s	568	U+0073	LATIN SMALL LETTER S
	S			s	127	U+0053	LATIN CAPITAL LETTER S
	ſ			s	241	U+017F	LATIN SMALL LETTER LONG S
	ß			ß	1008	U+00DF	LATIN SMALL LETTER SHARP S
	t			t	4138	U+0074	LATIN SMALL LETTER T
	T			t	3	U+0054	LATIN CAPITAL LETTER T
	u			u	2082	U+0075	LATIN SMALL LETTER U
	ͧ			u	1	U+0367	COMBINING LATIN SMALL LETTER U
	U			u	324	U+0055	LATIN CAPITAL LETTER U
	v			v	61	U+0076	LATIN SMALL LETTER V
	ͮ			v	1	U+036E	COMBINING LATIN SMALL LETTER V
	w			w	750	U+0077	LATIN SMALL LETTER W
	W			w	5	U+0057	LATIN CAPITAL LETTER W
	x			x	17	U+0078	LATIN SMALL LETTER X
	X			x	3	U+0058	LATIN CAPITAL LETTER X
	y			y	18	U+0079	LATIN SMALL LETTER Y
	z			z	971	U+007A	LATIN SMALL LETTER Z
	Z			z	1	U+005A	LATIN CAPITAL LETTER Z
	χ			x	3	U+03C7	GREEK SMALL LETTER CHI
	ә			ə	7	U+04D9	CYRILLIC SMALL LETTER SCHWA
