Index	Bogennummer	REDE_Namen	Sprache	WS4::Transliteration WS4
ab	10029	Ringhuscheid	1	Diä guden ahlen Maan oas moat d’m Pärd durcht E=is gebroach oahn oahn dat kal Waaser gefal.
ab	10044	Malberg	1	Da goden ahle Man aß mat dem Pähd durch et Eis gebroocht un aen et kahl Waasser gefallen. 
ab	1009	Nowy Klukom	1	De goog ull Maa is mät däm Peied dörch’t Is brauka o (ganz kurz) in ’t kull Waute falla
ab	1018	Lasko K Choszczna	1	De gode olle Ma is met dem Peddörcht Is broȃka, um in dat kull Woate falle.-
ab	10215	Pantenburg	1	Dä juden aalen Maan aß mat däm Pärd and Eis gebroach un an dat kaal Waser gefall.
ab	1023	Golin	1	De good ull Mann is mit dem Päed döt Js brak̄e u i dat kull Wate falle.
ab	10230	Beuren	1	de gode ale Mahn os mot demm Perd durcht Eus gebroch, un on dat kalt Wasser gefall.
ab	10259	Mörsdorf	1	De gore, alte Verre eß met d[én/’m?] Pärd dorch des Eis gebroch un in’s kall Wasse gfalle.
ab	10275	Badenhard	1	De gut alt Mann is me-rem Perd durch’t Eïs gebroch un in=et kalt Wasser gefall.
ab	1029	Niekursko	1	De gód ull Maa is mem Peid döch d. Īs brauko uo in d. kull Waute fallo.
ab	10300	Welterod	1	De goure alde Mann is merem Pferd(Gaul)dorgs Eis kebroch un ens Wasser kefalle
ab	10315	Bleidenstadt	1	Der gure alte Mann iß mit dem Gaul dorch’s Eis gebroche unn ins kalte Wasser gefalle.
ab	10335	Espeler	1	der joden ale Mann as mat düm Perd durch’t Äis gebroche [u?]nd on dat kelt Weaßer gefellen
ab	1035	Stobno	1	De god ol Ma is met dem Pei dögt Is brauko o in dat kull Waute fallo.
ab	10351	Brandscheid	1	De guden allen Maan iß mit dem Pert durch dat Eis gebrouch un in dat kal [W̅?]aser gefalen.
ab	10368	Büdesheim	1	Dä goden āle Maan aos maot děm Päd durch ět Eïs gebrauch, ounn aon daat kaal Waser gefallen.
ab	10381	Waldkönigen	1	Dä joden ahle Maan ôs môt dm Pärd durch et E-is gebrôôch on ônn dat kalt Wass Waaßer gėfallen.
ab	1050	Krostkowo	1	Dei god ul Kehl iß mit dem Ped dächs Is brauke u i dat kaul Maute falle
ab	10584	Kalenborn	1	Däer jode ale Mahn es met dem Bärd dourcht Eus gebroch un en dad kald Wasser gefall’
ab	10601	Gappenach	1	Der jode alte Mann es met dem Perd durch et Eis gebroch on en dat kalt Wasser gefalle.
ab	10621	Rhens	1	De gore ale Mann es met dem Perd dorch dat Eis gebroch on ennet kalte Wasser gefalle.
ab	10649	Attenhausen	1	De goure alte Mann es met dem Gaul dorchs Äis gebroche un en d’s kalte Wassa gefalle.
ab	10663	Heringen	1	De goud alt Mann is met se[im?] Gaul ens Eis gebroche un ens kalt Wasser gefall[?].
ab	10690	Honsfeld	1	De johten ahle Mann es met dem Peerd durch et Ihs jebroochen on en dat kahlt Wasser gefallen.
ab	10697	Dahlem	1	Dä gode ale Mann es met dem Perd dorch et Is gebrauche, on en et kaal Wasser gefalle.
ab	10709	Aremberg	1	der jode ale Mann eß en dat Wasser met den ferd durch das Eis gebrochen ond an dat kalt Wasser gefallen.
ab	10736	Hohenleimbach	1	dä jod ahl Mahn eß met ͜  dem Päht dūrch ͜  et Eis gebroch’ on en dat kahle Wasser gefalle.
ab	10857	Hatzfeld (Eder)	1	Dr. gurre ale Mann es met dam Pare dä rchs Eis kebrochà on en dos kale Wasser gefalle. 
ab	10974	Haindorf	1	Der gout all Mouh is met den Pfärd durchs Jhs gebroche on in’s kal Wasser g’fall’n.
ab	110	Rozpedziny	1	De gode olle Mann es met dem Perd dörchs Js gebroke on en dat kolle Woter folle.
ab	11132	Schwarzwald	1	Dâr guete âle Moân es met dân Pfârn dorchs Is gebrochen, ân ins kâle Wasser gefalln.
ab	11149	Wipfra	1	Dr guěte ähle Moan es mett’n Fähre dorchs Is gebrochen onn ins kȃhle Wasser gefallen.
ab	11180	Remda	1	D’r gute âle Maͦnn ös mät’n Fâre dorchs Eis gebrochen onn in’s kâlte Wasser gefall’n.
ab	11197	Zeutsch	1	Da gute alte Monn is’ mit dam Pfare dorchs Eis gebruchen un ins kalte Wosser gefolln.
ab	11212	Breitenhain	1	D’r gute ālte Man̄ is mit’m Pfāre dorchs Eis gebrochen un in’s kālte Wasser gefallen.
ab	11230	Burkersdorf	1	Der gut allı Me͞n ist mitten Pfaehre durchs Eis gebrochen u. ins kalle Wosser gefollen.
ab	11252	Seelingstädt	1	Dar gute alle Mann is mit dem Pfarde durchs Eis gebruchen und in dös kahle Wasser gefalln.
ab	11262	Seebach	1	Der gute ale Mann es met n Gul ins Is gebrochen un ins kale Wasser. gefalln.
ab	1133	Debenke	1	Dei gäud ull Misch is mit dem Ped döt Iss braukä u id dat kull Wautä fallä.
ab	1139	Gliszcz	1	Dai gaud ull Mann ÿß mäm Peed durcht Iis braukn u ÿ dat kull Wautr falln.
ab	11467	Boilstädt	1	Där guete ähle Mann ës mät dıe Färd därch des Is kebrochen.
ab	11485	Ingersleben	1	Dar guote ale Muan es mät’n Fahre dorchs Is gebrochen on ins kahle Wasser g’falln
ab	1150	Czarze	1	De gode ole Mensch es met dem Peet derch Is broke on en dat kole Woter folle.
ab	11515	Gutendorf	1	D’r gute ahle Mann es mett n Fahre durchs Eis gebroch’n.
ab	11539	Kleinschwabhausen	1	D’r gute alte Mann es mät ’n Fāhre dorch’s Eis jebrochen on ins kalte Wasser jefallen.
ab	11568	Thalbürgel	1	Der gute alle Mann ist mit dem Fä̀hre durchs Eis gebrochen un ins kalte Washer gefallen.
ab	1157	Bielczyny	1	Dr guat alt Mann isch mit'm Pferd durchs Eis brocha unn ins kalt' Wasser g'falle
ab	11586	Bad Köstritz	1	Dar gute alle Monn is mitn Pfare durchs Eis gebruchen un ins kalle Wosser gefolln.
ab	11607	Lumpzig	1	D’r gute alle M(a)nn is mit’n Pfare dorch’s Eis gebruchen un ins kalle Wosser gefoll’n.
ab	1162	Sierakowo	1	Dei god oll Mann ös möt dem Peed dercht Is broake o öt koll Woate folle.
ab	11645	Gleismuthhausen	1	Der gute alte Ma̰ ist mit’n Gaul durchs Eis gäbrochn, un is neis kalt Wasser gfalln.
ab	11673	Mitwitz	1	De gute ɑlte Ma is mit den Pfä dorchs Eis gebrochn und neis kolte Wesse g’fɑlln.
ab	11763	Aub	1	Dur gut alt Mō is mitn Gaul durchs Eis gebròchn und neis kalt Wasser gefalln.
ab	1178	Sokoliniec	1	Dn gog ull Ma is mit dem Päet dörcht Is brauka, u in dat kul Waute falla
ab	11805	Seidmannsdorf	1	Dâr gutâ altâ Maa is mitdn Pfâr durchs Eis g’brochn und neis kaltâ Wass’r g’falln.
ab	11825	Wallenfels	1	De gut alt Mo it mit dem Pfä duris Eis gebrochn und neis kalt Wasse g’falln.
ab	11844	Neudorf	1	Der gouta alta Mo iß mitn Pfär dorch’s Eis gabrochn und in des kalta Wassr gafalln.
ab	11864	Draisendorf	1	Der gut’ alt Mon Tilde unter „on“ is mit’n Pfèr dårchs Eis găbrochen und ins kålt Wåsser g’falln.
ab	11881	Sohl	1	Dr gout alt mua is mit’n pfer durch’s eis brochn u is kalt wassr gfalln.
ab	11896	Sülzdorf	1	Dar gut alt Mo is mit’n Gaul dorchs Eis gebroche on nei ’s kalt Wasser gefalle.
ab	1192	Debsko	1	De god ol Mah is mit demm Peiêd döcht Is brooke u int kol Wautė falle.
ab	11927	Bachfeld	1	Där gutt alt Ma is’ mit dän Pfärd dorchs Eis gebrochen un in dös kalte Wasser gefall’n.
ab	1197	Plociczno	1	De god’ oll’ Maa is mit de Päer doṙcht Ies broaka un in dɑt koll Woate falle
