Index	Bogennummer	REDE_Namen	Sprache	WS38::Transliteration WS38
ab	10029	Ringhuscheid	1	D'Leckt sen hockt oall de baußen op dem Feld oan mihen.
ab	10044	Malberg	1	Die Leit sein hei[??]t ahl debaußen ob dem Fehl un miehen.
ab	1009	Nowy Klukom	1	De Lühg sin hüt alle butn up'm Fill o mäga. 
ab	1018	Lasko K Choszczna	1	De Lüd sin hüte alle buta um Fil un mähga. -
ab	10215	Pantenburg	1	De Leit sen haut all ob em Fähl on mihen.
ab	1023	Golin	1	De Lüüd sin hüt alle buten up dem Fill u määge.
ab	10230	Beuren	1	De Leut seu haut all off dem Flor un mahen.
ab	10259	Mörsdorf	1	Die Leut sin haut all ejaus ufdem Fell am Mähe.
ab	10275	Badenhard	1	Die Leit sen haut all drauß uf dem Fell un mähe.
ab	1029	Niekursko	1	d'Lüd sinn heit alle buto um Fill ou mögo
ab	10300	Welterod	1	Dej Läjt senn häjt all uf'm Feld un mähe.
ab	10315	Bleidenstadt	1	Die Leit sinn heit all draus uff'm Feld unn mehe.
ab	10335	Espeler	1	De Lekt sinn hekt aldabaußen ob dat Feld ond mihen.
ab	1035	Stobno	1	De Lüd sin hüt alle buto up dem Feld u mäjo.
ab	10351	Brandscheid	1	Die Läkt senn huit all da boußen ob dem Feld un mihen.
ab	10368	Büdesheim	1	De Leck sinn hock all de boußen ob d'em Fäll unn mien.
ab	10381	Waldkönigen	1	De Leut se-in hout all erüß ob dem Fell on mähen.
ab	1050	Krostkowo	1	Dei Lüd sin hüt alle buten um Fil u meje
ab	10584	Kalenborn	1	De Leut seun hoaud all droausen of dem Färl un mäen.
ab	10601	Gappenach	1	De Leit sein haut all ejauße of dem Fell on mähe.
ab	10621	Rhens	1	Die Leut sem heut all drauß of em Feld on mäje.
ab	10649	Attenhausen	1	Die Läit senn häit all drouse uff dem Feld un mähe.
ab	10663	Heringen	1	Die Leut sen haut all drauß em Feld un meje.
ab	10690	Honsfeld	1	De Löck sen höck all do bussen ob't Feld ohnd mähne.
ab	10697	Dahlem	1	De Löck senn höck all dofür opp dem Fell on mähe.
ab	10709	Aremberg	1	De Löck sen höck all droußen ob dem Fell ond mäen.
ab	10736	Hohenleimbach	1	Die Leut sein heut all draußen ob dem Feld on mähe.
ab	10857	Hatzfeld (Eder)	1	Di Loure sei haure all dause off demm Feld un mih.
ab	10974	Haindorf	1	De Lühd sen hüht all dusse of den Fähld ou mäh=we. -
ab	110	Rozpedziny	1	De Lüd send hütte allee buten opem Fil on mähe.
ab	11132	Schwarzwald	1	De Lüth sinn hütt âll drussen of dân Feld on mähen.
ab	11149	Wipfra	1	De Liete sinn hitte alle drussen offen Fälle onn homm'n.
ab	11180	Remda	1	D' Leite sinn heite alle druss'n off'n Fälle onn haun.
ab	11197	Zeutsch	1	Die Leite sin heite olle drusse uffem Felle on mähn.
ab	11212	Breitenhain	1	De Leute sin̄ heute alle drussen off'n Felle un möhen (machen lus)
ab	11230	Burkersdorf	1	Die Läde sin̄ häte olle draußen uffen Fälle un mehen.
ab	11252	Seelingstädt	1	Die Leut sind heut alle draußen of dem Fälde und han.
ab	11262	Seebach	1	D. Lüt sin hütt all trausen uft n Fäld un hauben.
ab	1133	Debenke	1	Dei Lüd sünn hüt alle ob dem Fill u mäge.
ab	1139	Gliszcz	1	Dai Lüd sind hüt alle buten up dem Fäll u mejä.
ab	11467	Boilstädt	1	Die Lüht sinn hitt all drussen af dän Fäld un mäen.
