Index	Bogennummer	REDE_Namen	Sprache	WS31::Transliteration WS31
ab	10029	Ringhuscheid	1	Ech verstinn ech net, dör mußt eh böschen harter schwätzen.
ab	10044	Malberg	1	Eich bestiehe eich nett, dir mohst ewinnig hoh[el?]er schwähzen.
ab	1009	Nowy Klukom	1	Ick västau juh ne, jih möta a bitzka luhge (schon etwas veraltet, dafür "senne" von sehr) spreika 
ab	1018	Lasko K Choszczna	1	Ich verstau ju ni, jü möta a betka lude spreke.
ab	10215	Pantenburg	1	Ech verstühn ech nöt, dou mouß a winig horder schwätzen.
ab	1023	Golin	1	Jk vostah ju ni, ji möthe en bitzken lude spräke.
ab	10230	Beuren	1	Euch verstiehe ech net, dir most härter schwätze.
ab	10259	Mörsdorf	1	Ech verstie uch net, dia meßt ebbes härta schwätze.
ab	10275	Badenhard	1	Ich verstehn auch net, dihr mußt=e bische lauter spreche (schwetze).
ab	1029	Niekursko	1	Ik vestau ju nei, ji möto a bisko sööne reido.
ab	10300	Welterod	1	Ich verscheh'n äjch nett ehr mußt e bische lauder schpreche/schwetze ...
ab	10315	Bleidenstadt	1	Ich verstihe eich nitt, ihr mißt e bische laurer schwetze.
ab	10335	Espeler	1	Ech verstoh öch nitt, d'irr mott e besche mi hart schwätze.
ab	1035	Stobno	1	Ick vestau ju nie, ji möto a beit siane reido.
ab	10351	Brandscheid	1	Ech verstinn ech net, dir mist en beschen harter schwäzen.
ab	10368	Büdesheim	1	Ech verstin ech nätt, d'r maot en Bäßchen louter sprägen.
ab	10381	Waldkönigen	1	Ech verstiehn öch net, dr mohßt jät hôrter schwäätzen.
ab	1050	Krostkowo	1	Ik ensta ju ni, ji meute a bitzge laude räde
ab	10584	Kalenborn	1	Ech verstü ech net, dir mest en beschen dichder schbrärchen.
ab	10601	Gappenach	1	Ech verstin uch net, dir mußt e beßge harter schwätzen.
ab	10621	Rhens	1	Ech verstien euch net, ihr mößt e besche lauter spreche.
ab	10649	Attenhausen	1	Äich västehe ouch net, är mußt e bische härta schwetze.
ab	10663	Heringen	1	Ich verstihn och net, er mußt e bische herter schwätze.
ab	10690	Honsfeld	1	Ich verstonn üch net, derr moßt jet harder kallen.
ab	10697	Dahlem	1	Ech verston öch net got, dir mot get harder kalle.
ab	10709	Aremberg	1	Ech verstohn öch net, ehr mößt jet louter schwätzen.
ab	10736	Hohenleimbach	1	Ech verstohe öch net, dir moßt jet harter schwätze.
ab	10857	Hatzfeld (Eder)	1	Ich versteh och net, ehr mußt eh bische laurer spreche.
ab	10974	Haindorf	1	Ich verstehn üch net, ö mot e Beßle särner schwatz.
ab	110	Rozpedziny	1	Jck verstoh ju nich, ji mutte bet luter sprecke.
ab	11132	Schwarzwald	1	Ech verstiâ uch nech, ihr (diâ) müst â bischen luther sprech.
ab	11149	Wipfra	1	Ech verstie eich nech dähe mott ä Beschen luder schwatze.
